Severity,Date/Time,Latitude,Longitude,City,State,Number,Street,Description
3,2018-04-17 08:14:38,41.308,-110.7311,Fort Bridger,WY,,US-189 N,Left lane blocked due to accident on I-80 Westbound at Exit 18 US-189.
3,2019-01-02 11:54:06,41.3378,-106.7459,Saratoga,WY,,Cow Creek Sta,At Encampment - Jackknifed articulated truck. Blocked ahead.
4,2019-09-28 20:26:12,41.1253,-105.3086,Laramie,WY,,I-80 E,Closed between North Buford Rd/Exit 335 and Otto Rd/Exit 348 - Road closed due to accident. Accident.
3,2018-03-26 03:09:13,44.2901,-105.4671,Gillette,WY,,US-16 W,Right lane blocked due to accident on I-90 Westbound at Exit 128 WY-51.
4,2019-02-21 14:07:16,41.6452,-108.575,Wamsutter,WY,,I-80 E,Closed between Bitter Creek Road/Exit 142 and CR-423/Wamsutter-Crooks/Exit 173 - Road closed due to accident.
2,2016-09-29 14:54:41,41.0571,-104.7964,Cheyenne,WY,,S Greeley Hwy,At WY-223/Terry Ranch Rd - Accident.
3,2018-03-29 08:10:18,41.1757,-104.0758,Pine Bluffs,WY,,Parsons Ave,Left lane blocked due to accident on I-80 Westbound before Exit 401 I-80 Bus Parsons Ave.
3,2018-11-25 01:22:49,41.2419,-105.4381,Laramie,WY,,I-80 W,Entry ramp to I-80 Westbound from WY-210 both ways closed due to winter storm.
4,2019-01-04 05:19:36,42.8527,-106.2656,Evansville,WY,,I-25 N,Closed at WY-258/Curtis St/WY Blvd/Exit 185 - Road closed due to accident.
4,2018-03-16 10:34:38,41.1169,-104.8994,Cheyenne,WY,,I-80 W,Closed between Roundtop Rd and I-80-BL/US-30/E Grand Ave/Exit 316 - Road closed due to accident.
3,2017-12-14 03:04:57,41.7428,-106.7739,Hanna,WY,,I-80 E,Heavy traffic and left lane blocked due to accident on I-80 Westbound at Exit 238 Peterson Rd.
4,2018-12-20 13:54:22,44.7961,-108.5268,Lovell,WY,,W Main St,Closed between Lovell and Mountain View St - Road closed due to accident.
4,2016-11-11 05:26:54,41.0092,-105.4199,Tie Siding,WY,,S US Highway 287,Closed at Colorado/Wyoming State Line - Road closed due to accident.
2,2019-10-20 07:12:45,41.5658,-106.1395,Rock River,WY,,I-80 W,At WY-13/Exit 272 - Accident.
