State,Severity,Year,Month,Day,Counter
AL,2,2017,July,21,2
AL,2,2017,July,24,4
AL,2,2017,July,25,2
AL,2,2017,July,26,3
AL,2,2017,July,27,5
AL,2,2017,July,28,5
AL,2,2017,July,30,1
AL,2,2017,July,31,3
AL,2,2017,June,05,2
AL,2,2017,June,07,1
AL,2,2017,June,08,2
AL,2,2017,June,09,3
AL,2,2017,June,12,4
AL,2,2017,June,13,6
AL,2,2017,June,14,2
AL,2,2017,June,18,2
AL,2,2017,June,20,3
AL,2,2017,June,26,1
AL,2,2017,June,29,1
AL,2,2017,June,30,1
AL,2,2017,March,01,1
AL,2,2017,March,07,1
AL,2,2017,March,08,2
AL,2,2017,March,13,2
AL,2,2017,March,14,2
AL,2,2017,March,16,1
AL,2,2017,March,17,3
AL,2,2017,March,20,1
AL,2,2017,March,22,1
AL,2,2017,March,29,2
AL,2,2017,March,30,1
AL,2,2017,May,01,2
AL,2,2017,May,02,1
AL,2,2017,May,08,1
AL,2,2017,May,09,1
AL,2,2017,May,10,3
AL,2,2017,May,14,1
AL,2,2017,May,15,7
AL,2,2017,May,18,4
AL,2,2017,May,22,1
AL,2,2017,May,23,4
AL,2,2017,May,24,5
AL,2,2017,May,25,1
AL,2,2017,May,26,1
AL,2,2017,May,29,5
AL,2,2017,May,31,5
AL,2,2017,November,01,2
AL,2,2017,November,02,1
AL,2,2017,November,03,2
AL,2,2017,November,06,1
AL,2,2017,November,07,1
AL,2,2017,November,08,2
AL,2,2017,November,09,2
AL,2,2017,November,10,2
AL,2,2017,November,13,3
AL,2,2017,November,14,3
AL,2,2017,November,15,2
AL,2,2017,November,16,4
AL,2,2017,November,17,5
AL,2,2017,November,18,2
AL,2,2017,November,19,1
AL,2,2017,November,20,9
AL,2,2017,November,21,6
AL,2,2017,November,22,5
AL,2,2017,November,24,7
AL,2,2017,November,25,3
AL,2,2017,November,27,6
AL,2,2017,November,28,7
AL,2,2017,November,29,2
AL,2,2017,November,30,12
AL,2,2017,October,01,2
AL,2,2017,October,02,5
AL,2,2017,October,03,5
AL,2,2017,October,04,7
AL,2,2017,October,05,8
AL,2,2017,October,06,5
AL,2,2017,October,07,2
AL,2,2017,October,08,3
AL,2,2017,October,09,7
AL,2,2017,October,10,7
AL,2,2017,October,11,15
AL,2,2017,October,12,12
AL,2,2017,October,13,2
AL,2,2017,October,17,3
AL,2,2017,October,18,1
AL,2,2017,October,19,1
AL,2,2017,October,20,1
AL,2,2017,October,22,1
AL,2,2017,October,23,4
AL,2,2017,October,24,2
AL,2,2017,October,25,1
AL,2,2017,October,26,2
AL,2,2017,October,27,3
AL,2,2017,October,29,1
AL,2,2017,October,30,2
AL,2,2017,October,31,3
AL,2,2017,September,01,7
AL,2,2017,September,03,1
AL,2,2017,September,04,5
AL,2,2017,September,05,4
AL,2,2017,September,06,6
AL,2,2017,September,07,13
AL,2,2017,September,08,3
AL,2,2017,September,09,2
AL,2,2017,September,10,2
AL,2,2017,September,11,3
AL,2,2017,September,12,10
AL,2,2017,September,13,4
AL,2,2017,September,14,7
AL,2,2017,September,15,5
AL,2,2017,September,16,2
AL,2,2017,September,17,1
AL,2,2017,September,18,4
AL,2,2017,September,19,6
AL,2,2017,September,20,4
AL,2,2017,September,21,11
AL,2,2017,September,22,5
AL,2,2017,September,25,7
AL,2,2017,September,26,2
AL,2,2017,September,27,7
AL,2,2017,September,28,8
AL,2,2017,September,29,10
AL,2,2018,April,01,1
AL,2,2018,April,02,15
AL,2,2018,April,03,16
AL,2,2018,April,04,28
AL,2,2018,April,05,9
AL,2,2018,April,06,13
AL,2,2018,April,07,3
AL,2,2018,April,08,3
AL,2,2018,April,09,21
AL,2,2018,April,10,14
AL,2,2018,April,11,18
AL,2,2018,April,12,19
AL,2,2018,April,13,11
AL,2,2018,April,14,3
AL,2,2018,April,15,1
AL,2,2018,April,16,10
AL,2,2018,April,17,12
AL,2,2018,April,18,14
AL,2,2018,April,19,9
AL,2,2018,April,20,9
AL,2,2018,April,21,5
AL,2,2018,April,22,3
AL,2,2018,April,23,22
AL,2,2018,April,24,14
AL,2,2018,April,25,13
AL,2,2018,April,26,14
