,State,Crash_Index_Weighted
0,Alabama,0.5316600506240892
1,Arkansas,0.1421449900355105
2,Arizona,0.527718351448523
3,California,0.598257788473185
4,Colorado,0.6676455393464925
5,Connecticut,0.2503129399839481
6,District of Columbia,0.1340051312409678
7,Delaware,0.1910053272519533
8,Florida,0.4052579237715538
9,Georgia,0.6208926386000807
10,Iowa,0.3309647792758857
11,Idaho,0.1741478959639004
12,Illinois,0.5291504854937977
13,Indiana,0.3689488724324332
14,Kansas,0.591862309612235
15,Kentucky,0.3663041774958137
16,Louisiana,0.9848040867449336
17,Massachusetts,0.1621971422568932
18,Maryland,0.3603495496801457
19,Maine,0.4311419651430696
20,Michigan,0.6282517344070246
21,Minnesota,1.6160073368666434
22,Missouri,0.6085086350867392
23,Mississippi,0.4308195905766568
24,Montana,0.0759940976139638
25,North Carolina,1.3619910468489065
26,North Dakota,0.0263199887018711
27,Nebraska,1.5108194271106872
28,New Hampshire,0.4077557544851525
29,New Jersey,0.2247968410871437
30,New Mexico,0.454788985863481
31,Nevada,0.1862157407649287
32,New York,0.5188634020483115
33,Ohio,0.2747878589444451
34,Oklahoma,1.8031322366262543
35,Oregon,2.9420032980491984
36,Pennsylvania,0.4079406119300275
37,Rhode Island,0.3278773930209135
38,South Carolina,2.529992022700216
39,South Dakota,0.0187577106017385
40,Tennessee,0.7107504300992432
41,Texas,0.6503043822431804
42,Utah,2.075052656378041
43,Virginia,0.6862959764640868
44,Vermont,0.1209759739857867
45,Washington,0.4586352948678453
46,Wisconsin,0.3006521475747435
47,West Virginia,0.2814372182894232
48,Wyoming,0.1631787875119713
